DATE,Real GDP
1991-01-01,517733.8
1991-04-01,515466.2
1991-07-01,514515.3
1991-10-01,521756.9
1992-01-01,529126.3
1992-04-01,525907.9
1992-07-01,524518.2
1992-10-01,522982.2
1993-01-01,518885.9
1993-04-01,519105.3
1993-07-01,522031.1
1993-10-01,521665.4
1994-01-01,528925.3
1994-04-01,531997.5
1994-07-01,535069.6
1994-10-01,541067.7
1995-01-01,538891.4
1995-04-01,543280.4
1995-07-01,544231.3
1995-10-01,544450.7
1996-01-01,540610.8
1996-04-01,548144.6
1996-07-01,550046.4
1996-10-01,555020.2
1997-01-01,552387.4
1997-04-01,558604.7
1997-07-01,560579.6
1997-10-01,564748.8
1998-01-01,570308.1
1998-04-01,567674.9
1998-07-01,570308.1
1998-10-01,570161.8
1999-01-01,576927.8
1999-04-01,576196.3
1999-07-01,583950.1
1999-10-01,586729.8
2000-01-01,596001.0
2000-04-01,600609.2
2000-07-01,600975.0
2000-10-01,598414.8
2001-01-01,611307.0
2001-04-01,609551.5
2001-07-01,609478.3
2001-10-01,607649.5
2002-01-01,605071.2
2002-04-01,607192.5
2002-07-01,611361.8
2002-10-01,609752.6
2003-01-01,601560.1
2003-04-01,602291.6
2003-07-01,607777.6
2003-10-01,608509.1
2004-01-01,607759.4
2004-04-01,611197.2
2004-07-01,609222.3
2004-10-01,608929.7
2005-01-01,610063.3
2005-04-01,613428.1
2005-07-01,618475.5
2005-10-01,620816.2
2006-01-01,627746.7
2006-04-01,638426.2
2006-07-01,643400.2
2006-10-01,652763.0
2007-01-01,653622.6
2007-04-01,657938.2
2007-07-01,661229.7
2007-10-01,666130.4
2008-01-01,670190.4
2008-04-01,667776.5
2008-07-01,664119.1
2008-10-01,653878.2
2009-01-01,623138.5
2009-04-01,624820.9
2009-07-01,628551.4
2009-10-01,633452.2
2010-01-01,638005.2
2010-04-01,651903.5
2010-07-01,658194.3
2010-10-01,662510.1
2011-01-01,674487.6
2011-04-01,676316.3
2011-07-01,679973.6
2011-10-01,679973.7
2012-01-01,681436.5
2012-04-01,682094.9
2012-07-01,683557.8
2012-10-01,681290.3
2013-01-01,677504.7
2013-04-01,685697.4
2013-07-01,689135.4
2013-10-01,689940.0
2014-01-01,697144.9
2014-04-01,697364.4
2014-07-01,700948.5
2014-10-01,706141.8
2015-01-01,704551.0
2015-04-01,708866.6
2015-07-01,712158.2
2015-10-01,715449.9
2016-01-01,722380.6
2016-04-01,724721.3
2016-07-01,726915.7
2016-10-01,729841.4
2017-01-01,738582.4
2017-04-01,745019.4
2017-07-01,750213.0
2017-10-01,757381.6
2018-01-01,753705.7
2018-04-01,759191.7
2018-07-01,753705.7
2018-10-01,758460.3
2019-01-01,762702.7
2019-04-01,763214.8
2019-07-01,765262.9
2019-10-01,764970.4
2020-01-01,748127.8
2020-04-01,681565.8
2020-07-01,740886.4
2020-10-01,749298.1
2021-01-01,740960.2
2021-04-01,759831.7
2021-07-01,760124.3
2021-10-01,764805.6
2022-01-01,766195.5
2022-04-01,766049.3
2022-07-01,770584.3
2022-10-01,766634.4
2023-01-01,767749.9
2023-04-01,766579.5
2023-07-01,768042.5
2023-10-01,765189.8
2024-01-01,767000.1
2024-04-01,764732.6
2024-07-01,765537.2
2024-10-01,764001.2
